area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
50,1,8,0,"Terhathum","Total",479,316,5,50,94,12,0,0,1,1,0,0,0,0
50,1,8,1,"Terhathum","Male",274,126,3,44,91,9,0,0,1,0,0,0,0,0
50,1,8,2,"Terhathum","Female",205,190,2,6,3,3,0,0,0,1,0,0,0,0
50,1,9,0,"Panchthar","Total",841,759,7,39,34,1,0,0,1,0,0,0,0,0
50,1,9,1,"Panchthar","Male",309,242,1,32,34,0,0,0,0,0,0,0,0,0
50,1,9,2,"Panchthar","Female",532,517,6,7,0,1,0,0,1,0,0,0,0,0
50,1,10,0,"Ilam","Total",3496,3356,82,32,13,8,1,2,1,0,0,1,0,0
50,1,10,1,"Ilam","Male",928,868,28,13,9,6,1,2,1,0,0,0,0,0
50,1,10,2,"Ilam","Female",2568,2488,54,19,4,2,0,0,0,0,0,1,0,0
50,1,11,0,"Jhapa","Total",52998,50927,1047,437,382,145,8,13,15,4,6,10,2,2
50,1,11,1,"Jhapa","Male",19206,18063,476,241,308,82,6,5,10,2,4,8,0,1
50,1,11,2,"Jhapa","Female",33792,32864,571,196,74,63,2,8,5,2,2,2,2,1
50,1,12,0,"Morang","Total",47218,46160,302,445,151,112,10,11,3,6,0,9,4,5
50,1,12,1,"Morang","Male",11610,11072,119,221,118,59,7,3,1,2,0,6,2,0
50,1,12,2,"Morang","Female",35608,35088,183,224,33,53,3,8,2,4,0,3,2,5
50,1,13,0,"Sunsari","Total",31536,30399,138,481,136,342,9,15,5,3,3,3,1,1
50,1,13,1,"Sunsari","Male",7805,7182,48,267,110,176,5,8,3,2,0,3,1,0
50,1,13,2,"Sunsari","Female",23731,23217,90,214,26,166,4,7,2,1,3,0,0,1
50,1,14,0,"Udayapur","Total",1932,1830,37,35,9,16,0,1,0,0,0,0,4,0
50,1,14,1,"Udayapur","Male",725,670,12,25,8,8,0,1,0,0,0,0,1,0
50,1,14,2,"Udayapur","Female",1207,1160,25,10,1,8,0,0,0,0,0,0,3,0
50,2,15,0,"Saptari","Total",24428,24368,13,19,22,3,0,1,0,0,0,0,0,2
50,2,15,1,"Saptari","Male",922,889,0,12,21,0,0,0,0,0,0,0,0,0
50,2,15,2,"Saptari","Female",23506,23479,13,7,1,3,0,1,0,0,0,0,0,2
50,2,16,0,"Siraha","Total",22007,21946,42,6,4,2,0,3,1,0,0,0,0,3
50,2,16,1,"Siraha","Male",1260,1245,9,1,4,0,0,1,0,0,0,0,0,0
50,2,16,2,"Siraha","Female",20747,20701,33,5,0,2,0,2,1,0,0,0,0,3
50,2,17,0,"Dhanusa","Total",32216,32170,12,6,15,2,3,3,0,1,1,0,1,2
50,2,17,1,"Dhanusa","Male",2293,2271,1,3,13,1,3,0,0,0,0,0,0,1
50,2,17,2,"Dhanusa","Female",29923,29899,11,3,2,1,0,3,0,1,1,0,1,1
50,2,18,0,"Mahottari","Total",29575,29525,22,11,9,2,0,0,0,1,0,1,0,4
50,2,18,1,"Mahottari","Male",1437,1422,3,5,7,0,0,0,0,0,0,0,0,0
