sex,agegrp,sexname,agegrpname,total,urban,rural,mountain,hill,tarai,province1,madhesh,bagmati,gandaki,lumbini,karnali,sudurpaschim
2,3,"Female","3 Year",252510,158882,93628,16065,87212,149233,39628,70990,38808,16965,45548,17396,23175
2,4,"Female","4 Year",253131,159434,93697,16863,91331,144937,41607,65982,41057,17682,45047,17232,24524
2,5,"Female","5 Year",269216,170401,98815,17240,93450,158526,43305,74507,42232,18343,48170,17230,25429
2,6,"Female","6 Year",268359,170464,97895,17716,96716,153927,43753,69776,44199,19317,48037,17489,25788
2,7,"Female","7 Year",258021,164306,93715,16841,93825,147355,44424,64189,41887,18505,46762,17131,25123
2,8,"Female","8 Year",286398,181178,105220,18600,98983,168815,46240,78298,43672,19438,51474,18785,28491
2,9,"Female","9 Year",241028,153292,87736,16927,96191,127910,42050,49402,43454,19095,43645,17738,25644
2,10,"Female","10 Year",307987,194393,113594,20090,105557,182340,46650,87550,47158,20486,53841,20272,32030
2,11,"Female","11 Year",228735,145253,83482,16376,94654,117705,38859,43937,42244,19201,41366,17275,25853
2,12,"Female","12 Year",308668,193495,115173,21909,112074,174685,46750,79441,49339,21567,54708,21908,34955
2,13,"Female","13 Year",275172,173315,101857,20067,110032,145073,44859,56397,48574,21556,50602,21066,32118
2,14,"Female","14 Year",293349,184665,108684,21096,115194,157059,46395,64078,50631,22231,53659,22180,34175
2,15,"Female","15 Year",301378,190558,110820,20915,118528,161935,48185,65280,52807,23147,56051,21782,34126
2,16,"Female","16 Year",302206,192691,109515,20140,116673,165393,47393,67716,54599,22399,56350,21204,32545
2,17,"Female","17 Year",265803,173858,91945,16427,111416,137960,45383,48899,53538,22647,50206,17253,27877
2,18,"Female","18 Year",347802,226622,121180,23223,133223,191356,53893,78526,65250,25784,63941,23849,36559
2,19,"Female","19 Year",254692,170169,84523,15574,110507,128611,44311,41010,55906,22641,48309,17104,25411
2,20,"Female","20 Year",373473,248209,125264,21609,134823,217041,56153,96893,67952,25659,66283,22561,37972
2,21,"Female","21 Year",253194,170218,82976,15322,110934,126938,44266,38967,55937,23057,47762,17359,25846
2,22,"Female","22 Year",315694,211427,104267,17756,123264,174674,50421,68280,63074,24456,57749,19821,31893
2,23,"Female","23 Year",266665,180395,86270,15095,113427,138143,44305,45500,59189,23637,50792,16658,26584
2,24,"Female","24 Year",273015,185491,87524,15431,114727,142857,45329,47871,61306,23623,51535,16068,27283
2,25,"Female","25 Year",342705,232143,110562,16650,121617,204438,54892,89881,65806,25116,60162,17058,29790
2,26,"Female","26 Year",270852,185581,85271,14666,113132,143054,45715,47081,61378,23999,51852,15274,25553
2,27,"Female","27 Year",219359,152946,66413,11365,94849,113145,39297,34282,52433,20764,41291,11701,19591
2,28,"Female","28 Year",312667,213487,99180,16447,123426,172794,50765,65876,68015,25398,58425,16248,27940
2,29,"Female","29 Year",191524,136219,55305,9594,89527,92403,35126,21169,49257,21162,37599,10204,17007
2,30,"Female","30 Year",356890,244927,111963,17325,120665,218900,52340,100941,67846,25127,61992,16502,32142
2,31,"Female","31 Year",162568,116389,46179,8474,77956,76138,30343,16238,44381,17842,31230,8616,13918
2,32,"Female","32 Year",246067,171789,74278,12193,99721,134153,41447,46881,55783,21247,46100,12482,22127
2,33,"Female","33 Year",214930,150463,64467,11680,96867,106383,41346,29318,53683,20697,39789,11419,18678
2,34,"Female","34 Year",188281,132481,55800,9647,84013,94621,34322,25146,47640,18950,36141,9850,16232
2,35,"Female","35 Year",337657,232187,105470,15869,109579,212209,51534,100781,61356,22969,55655,15367,29995
2,36,"Female","36 Year",207204,145666,61538,10848,89738,106618,36868,32859,51186,19514,37836,10680,18261
2,37,"Female","37 Year",158909,111980,46929,8137,72159,78613,30994,20698,41190,16596,29160,7674,12597
2,38,"Female","38 Year",248749,170181,78568,12951,98607,137191,41302,50432,54660,20714,46343,12800,22498
2,39,"Female","39 Year",152042,107135,44907,7814,71988,72240,30287,16432,40527,16818,28659,7367,11952
2,40,"Female","40 Year",326933,221086,105847,17643,114081,195209,48998,89207,63642,23390,54163,16231,31302
2,41,"Female","41 Year",121300,85461,35839,6674,59297,55329,24281,11148,33990,13870,22289,6006,9716
2,42,"Female","42 Year",188314,130927,57387,9789,82349,96176,34928,29659,46813,18032,33847,9458,15577
2,43,"Female","43 Year",157253,107618,49635,9151,73373,74729,29922,19369,40195,16488,28948,8666,13665
2,44,"Female","44 Year",125539,87378,38161,6925,60496,58118,25813,13784,33800,13765,22037,6087,10253
2,45,"Female","45 Year",238926,160203,78723,12688,81562,144676,36296,68205,44421,17578,37911,11702,22813
2,46,"Female","46 Year",135628,92505,43123,7867,65200,62561,26355,16685,35181,14659,24000,7322,11426
2,47,"Female","47 Year",100334,68444,31890,5914,49401,45019,19916,11697,27138,11411,17370,4923,7879
2,48,"Female","48 Year",167577,110365,57212,10363,72408,84806,28920,31253,39045,15359,28880,8817,15303
2,49,"Female","49 Year",106050,71717,34333,6231,52348,47471,21842,11357,28282,12418,18562,5361,8228
