area,prov,dist,sex,area_name,sexname,rowtotal,a_humnty,b_mgm,c_edu,d_science,e_medicine,f_enginring,g_law,h_agri,i_forstry,j_vetnry,k_computr,l_others,m_notstd
50,6,67,1,"Salyan","Male",11551,902,1251,6950,523,376,339,55,194,38,73,94,106,650
50,6,67,2,"Salyan","Female",10546,563,1101,7103,200,443,72,41,191,26,47,43,74,642
50,6,68,0,"Surkhet","Total",50378,3748,11007,24699,2712,2125,993,381,570,196,198,324,596,2829
50,6,68,1,"Surkhet","Male",25733,2114,5982,11333,1951,796,833,219,302,114,117,235,329,1408
50,6,68,2,"Surkhet","Female",24645,1634,5025,13366,761,1329,160,162,268,82,81,89,267,1421
50,7,69,0,"Bajura","Total",13077,1572,1846,6947,313,550,271,38,136,49,102,60,181,1012
50,7,69,1,"Bajura","Male",7646,971,1166,3834,253,254,226,32,81,31,64,43,105,586
50,7,69,2,"Bajura","Female",5431,601,680,3113,60,296,45,6,55,18,38,17,76,426
50,7,70,0,"Bajhang","Total",18799,1192,1704,11908,576,758,329,68,337,86,100,124,264,1353
50,7,70,1,"Bajhang","Male",11242,813,1088,6716,494,438,294,55,189,54,60,98,163,780
50,7,70,2,"Bajhang","Female",7557,379,616,5192,82,320,35,13,148,32,40,26,101,573
50,7,71,0,"Darchula","Total",15840,2028,1926,8441,528,432,315,24,202,120,90,62,370,1302
50,7,71,1,"Darchula","Male",9139,1326,1137,4528,411,209,264,17,118,69,52,43,219,746
50,7,71,2,"Darchula","Female",6701,702,789,3913,117,223,51,7,84,51,38,19,151,556
